paper,task,specialist_or_mllm,text_prompt,visual_prompt,no_target,multi_target,dedicated_rejector,shared_feature_owner_tested,structural_zero_cross_gradient,main_distinction,citation_key
"Grounding DINO","open-set detection and REC","specialist","yes","no","not primary","not primary","no","not a primary control","not claimed","frozen candidate generator used by ARROW","liu2025groundingdino"
"T-Rex2","generic open-set detection","specialist","yes","yes","not primary","not primary","no","not a primary control","not claimed","aligns complementary text and visual prompts","jiang2024trex2"
"PET-DINO","promptable open-set detection","specialist","yes","yes","not primary","not primary","no","not a primary control","not claimed","inherits Grounding DINO and jointly trains prompt routes","fu2026petdino"
"DINO-X","open-world object detection and understanding","specialist","yes","yes","not primary","not primary","no","not a primary control","not claimed","supports text visual customized and prompt-free routes","ren2024dinox"
"DINOv (Visual In-Context Prompting)","visual in-context detection and segmentation","specialist","no","yes","not primary","not primary","no","not a primary control","not claimed","visual in-context prompting rather than duty ownership","li2024dinov"
"GREC","zero one or multiple target comprehension","benchmark and specialist baseline","yes","no","yes","yes","no separate owner","not a primary control","not claimed","formulates generalized variable-cardinality comprehension","he2023grec"
"GREx","generalized segmentation comprehension and generation","benchmark and specialist baseline","yes","no","yes","yes","no separate owner","not a primary control","not claimed","unifies generalized referring-expression tasks and gRefCOCO provenance","ding2026grex"
"RECANTFormer","varying-cardinality comprehension","specialist","yes","no","yes","yes","no separate owner","not a primary control","not claimed","encoder-only set prediction with Hungarian matching","hemanthage2024recantformer"
"HieA2G","generalized comprehension","specialist","yes","no","yes","yes","adaptive grounding counter","not a primary control","not claimed","hierarchical alignment and adaptive target counting","wang2025hiea2g"
"InstAlign","generalized referring segmentation","specialist","yes","no","yes","yes","unified relevance score","not a primary control","not claimed","phrase-instance alignment and relevance aggregation","nguyen2024instalign"
"InstanceVG","generalized comprehension and segmentation","specialist","yes","no","yes","yes","not a primary claim","not a primary control","not claimed","instance-aware joint box and mask prediction","dai2026instancevg"
"RC-GRPO","localization and refusal","MLLM","yes","no","yes","not established","policy refusal rather than a separate owner","objective-level tradeoff","not claimed","reinforcement-learning balance of refusal and localization","yang2026rcgrpo"
"PCGrad","generic multi-task optimization","generic","n/a","n/a","n/a","n/a","n/a","shared parameters","no","projects conflicting gradients numerically","yu2020pcgrad"
"GradNorm","generic multi-task optimization","generic","n/a","n/a","n/a","n/a","n/a","shared parameters","no","balances task gradients by magnitude","chen2018gradnorm"
"CAGrad","generic multi-task optimization","generic","n/a","n/a","n/a","n/a","n/a","shared parameters","no","optimizes a conflict-averse shared direction","liu2021cagrad"
"Adapters","parameter-efficient adaptation","generic","n/a","n/a","n/a","n/a","n/a","not about deployed duties","no","freezes a backbone and adds compact task parameters","houlsby2019adapters"
"LoRA","parameter-efficient adaptation","generic","n/a","n/a","n/a","n/a","n/a","not about deployed duties","no","injects trainable low-rank updates into frozen weights","hu2022lora"
